City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
274,Fortuna,US,40.5982,-124.1573,57.92,72,100,4.0,overcast clouds
275,Ponta Do Sol,PT,32.6667,-17.1,70.43,81,21,3.38,few clouds
276,Morondava,MG,-20.2833,44.2833,65.75,83,0,11.95,clear sky
277,Sapouy,BF,11.5544,-1.7736,75.25,80,94,6.31,overcast clouds
278,Temerloh,MY,3.4483,102.4176,81.66,78,94,1.52,overcast clouds
279,Port Elizabeth,ZA,-33.918,25.5701,51.1,76,77,1.99,broken clouds
280,Camocim,BR,-2.9022,-40.8411,75.04,88,41,8.86,scattered clouds
281,Katsuura,JP,35.1333,140.3,74.77,85,100,15.79,light rain
282,Bagan,RU,54.1001,77.6646,60.48,79,100,10.85,overcast clouds
283,Dehloran,IR,32.6941,47.2679,87.98,13,0,8.75,clear sky
284,Alice Springs,AU,-23.7,133.8833,69.22,32,0,12.66,clear sky
285,Batemans Bay,AU,-35.7167,150.1833,59.09,51,58,8.12,broken clouds
286,Lavrentiya,RU,65.5833,-171.0,44.22,72,8,13.31,clear sky
287,Robore,BO,-18.3333,-59.75,80.26,55,2,7.99,clear sky
288,Bhatkal,IN,13.9667,74.5667,80.73,79,89,2.59,overcast clouds
289,Bam,IR,29.106,58.357,89.31,13,2,16.17,clear sky
290,Vardo,NO,70.3705,31.1107,40.98,81,100,13.8,overcast clouds
291,Mbuji-Mayi,CD,-6.15,23.6,71.28,44,3,3.76,clear sky
292,Kitgum,UG,3.2783,32.8867,65.66,74,54,3.94,broken clouds
293,Tranas,SE,58.0372,14.9782,47.39,96,13,3.85,few clouds
294,Chippewa Falls,US,44.9369,-91.3929,73.58,57,0,6.91,clear sky
295,Council Bluffs,US,41.2619,-95.8608,80.58,61,75,4.61,thunderstorm
296,Coquimbo,CL,-29.9533,-71.3436,51.53,93,0,6.91,clear sky
297,Teahupoo,PF,-17.8333,-149.2667,76.96,73,78,16.35,broken clouds
298,Saint-Joseph,RE,-21.3667,55.6167,68.38,74,3,3.91,clear sky
299,Ahipara,NZ,-35.1667,173.1667,62.11,70,100,5.48,light rain
300,Pahrump,US,36.2083,-115.9839,100.44,6,0,11.01,clear sky
301,Lompoc,US,34.6391,-120.4579,71.56,70,0,13.8,clear sky
302,Mantua,IT,45.1667,10.7833,76.24,75,58,5.86,broken clouds
303,Hauterive,FR,46.0901,3.4459,66.96,75,15,2.42,few clouds
304,Hounde,BF,11.5,-3.5167,74.28,84,99,5.32,overcast clouds
305,Padang,ID,-0.9492,100.3543,80.65,79,96,1.3,overcast clouds
306,Norsup,VU,-16.0667,167.3833,82.18,78,99,15.1,overcast clouds
307,Phan Thiet,VN,10.9333,108.1,85.51,66,16,3.2,few clouds
308,Naze,JP,28.3667,129.4833,72.09,93,100,1.39,moderate rain
309,Lander,US,42.833,-108.7307,84.6,27,0,6.91,clear sky
310,Rawson,AR,-43.3002,-65.1023,52.09,46,0,21.85,clear sky
311,Verkhnevilyuysk,RU,63.4453,120.3167,65.03,42,1,8.23,clear sky
312,Kedrovyy,RU,56.1667,91.8167,63.01,75,23,7.78,light rain
313,Kaitangata,NZ,-46.2817,169.8464,46.26,62,10,3.24,clear sky
314,Kavaratti,IN,10.5669,72.642,81.72,79,96,11.32,overcast clouds
315,Were Ilu,ET,10.6,39.4333,54.12,37,23,5.77,few clouds
316,Hanumangarh,IN,29.5833,74.3167,93.51,43,1,14.07,clear sky
317,Usinsk,RU,65.9939,57.5281,61.38,83,100,14.7,light rain
318,Kajaani,FI,64.2273,27.7285,46.45,93,100,12.66,overcast clouds
319,Qaqortoq,GL,60.7167,-46.0333,38.39,77,100,5.59,overcast clouds
320,Alta Floresta,BR,-9.8756,-56.0861,73.76,66,52,2.93,broken clouds
321,Wanlaweyn,SO,2.6185,44.8938,72.81,91,90,7.67,overcast clouds
322,Sur,OM,22.5667,59.5289,88.75,61,74,7.23,broken clouds
323,Dhandhuka,IN,22.3667,71.9833,85.6,68,79,11.12,broken clouds
324,Ballitoville,ZA,-29.539,31.2144,51.24,65,11,5.32,few clouds
325,Chifeng,CN,42.2683,118.9636,80.26,43,99,4.43,overcast clouds
326,Gayny,RU,60.3071,54.3241,56.46,93,100,3.51,overcast clouds
327,Buchanan,LR,5.8808,-10.0467,76.3,90,100,11.52,moderate rain
328,Kieta,PG,-6.2167,155.6333,83.91,68,89,4.41,light rain
329,Lujan,AR,-34.5703,-59.105,46.11,99,0,4.36,clear sky
330,Xuanhua,CN,40.6103,115.0447,78.93,55,98,6.26,overcast clouds
331,Predivinsk,RU,57.0669,93.4378,61.38,82,72,7.0,broken clouds
332,Nelson Bay,AU,-32.7167,152.15,66.99,61,2,3.0,clear sky
333,Tautira,PF,-17.7333,-149.15,78.8,73,45,16.06,scattered clouds
334,San Rafael Del Sur,NI,11.8485,-86.4384,75.06,87,89,4.61,overcast clouds
335,Kavieng,PG,-2.5744,150.7967,84.51,69,29,14.14,scattered clouds
336,Tsabong,BW,-26.0217,22.401,47.57,34,2,10.98,clear sky
337,Porbandar,IN,21.6422,69.6093,84.87,75,95,12.44,overcast clouds
338,Vao,NC,-22.6667,167.4833,75.97,84,100,13.11,light rain
339,Alpatovo,RU,43.7028,45.2415,67.08,80,100,7.29,light rain
340,Tura,IN,25.5198,90.2201,74.61,97,99,7.27,heavy intensity rain
341,Kirksville,US,40.1948,-92.5833,79.05,93,0,0.0,clear sky
342,Mecca,SA,21.4267,39.8261,85.26,29,45,3.49,scattered clouds
343,Chai Badan,TH,15.2,101.1333,87.58,64,93,8.99,overcast clouds
344,Buala,SB,-8.145,159.5921,83.61,74,80,9.6,light rain
345,Ginda,IN,30.6945,78.4932,72.07,45,93,0.58,overcast clouds
346,Zhigansk,RU,66.7697,123.3711,55.81,46,0,19.48,clear sky
